ID_klienta;ID_uslugi;data_rozpoczecia;data_zakonczenia
F1082;SD;2017-05-02;2021-05-01
F1447;BN;2017-05-02;2021-05-01
I1365;BD;2017-05-02;2021-05-01
I1325;PI;2017-05-02;2021-05-01
I1188;BD;2017-05-02;2020-05-01
I1443;BD;2017-05-02;2020-05-01
I1387;PR;2017-05-02;2020-05-01
I1325;SS;2017-05-02;2020-05-01
I1178;BN;2017-05-03;2022-05-02
E1457;FT;2017-05-02;2020-05-01
E1199;BD;2017-05-02;2020-05-01
I1237;B3;2017-05-02;2022-05-01
I1070;B2;2017-05-02;2020-05-01
F1241;BN;2017-05-02;2019-05-01
F1412;PP;2017-05-03;2021-05-02
E1234;PR;2017-05-03;2021-05-02
F1037;BN;2017-05-03;2020-05-02
I1075;FT;2017-05-03;2021-05-02
F1444;PI;2017-05-04;2020-05-03
F1444;FT;2017-05-04;2021-05-03
E1191;PP;2017-05-04;2019-05-03
I1185;PP;2017-05-04;2019-05-03
F1038;SD;2017-05-04;2020-05-03
E1249;B2;2017-05-05;2021-05-04
I1255;B3;2017-05-05;2020-05-04
I1093;PI;2017-05-05;2022-05-04
F1082;PP;2017-05-05;2021-05-04
I1151;PP;2017-05-06;2018-05-05
E1107;PP;2017-05-06;2021-05-05
E1291;DS;2017-05-06;2019-05-05
I1381;PP;2017-05-06;2018-05-05
I1388;SM;2017-05-06;2021-05-05
F1359;SM;2017-05-06;2019-05-05
I1046;SS;2017-05-07;2020-05-06
I1335;B3;2017-05-08;2018-05-07
I1237;B3;2017-05-08;2018-05-07
F1358;PI;2017-05-08;2019-05-07
I1046;BD;2017-05-08;2019-05-07
I1474;B2;2017-05-08;2020-05-07
I1375;SS;2017-05-08;2019-05-07
I1266;SM;2017-05-09;2018-05-08
E1168;PF;2017-05-09;2018-05-08
E1400;SM;2017-05-09;2020-05-08
I1151;FT;2017-05-09;2019-05-08
E1088;BN;2017-05-09;2019-05-08
I1300;PR;2017-05-09;2019-05-08
F1327;PI;2017-05-09;2018-05-08
I1296;PP;2017-05-10;2019-05-09
I1237;BD;2017-05-10;2019-05-09
I1365;B1;2017-05-10;2019-05-09
E1199;FT;2017-05-10;2019-05-09
E1424;BN;2017-05-10;2019-05-09
E1209;PP;2017-05-11;2018-05-10
F1205;PR;2017-05-11;2018-05-10
I1111;PP;2017-05-11;2021-05-10
I1272;BN;2017-05-11;2021-05-10
F1436;B3;2017-05-11;2018-05-10
I1472;PP;2017-05-11;2020-05-10
I1192;PP;2017-05-11;2019-05-10
I1389;B2;2017-05-11;2019-05-10
I1371;HU;2017-05-12;2020-05-11
F1292;SM;2017-05-12;2021-05-11
F1224;FT;2017-05-12;2019-05-11
I1414;PP;2017-05-13;2020-05-12
I1498;B2;2017-05-13;2020-05-12
F1164;PR;2017-05-13;2018-05-12
F1040;SD;2017-05-14;2019-05-13
I1375;BX;2017-05-14;2019-05-13
I1176;BX;2017-05-14;2020-05-13
I1177;PP;2017-05-14;2019-05-13
E1168;SM;2017-05-14;2019-05-13
F1359;SM;2017-05-14;2021-05-13
I1269;BD;2017-05-14;2020-05-13
I1279;SM;2017-05-14;2021-05-13
F1040;PI;2017-05-15;2019-05-14
I1433;SS;2017-05-15;2021-05-14
I1463;PP;2017-05-15;2020-05-14
F1253;BN;2017-05-15;2021-05-14
I1125;SS;2017-05-15;2019-05-14
E1290;PP;2017-05-15;2018-05-14
F1368;HU;2017-05-16;2020-05-15
I1331;B2;2017-05-16;2021-05-15
E1270;PI;2017-05-16;2021-05-15
I1009;SM;2017-05-16;2018-05-15
I1151;BN;2017-05-16;2018-05-15
I1381;PI;2017-05-16;2020-05-15
I1044;B3;2017-05-16;2021-05-15
F1464;PR;2017-05-17;2020-05-16
I1414;PP;2017-05-17;2018-05-16
I1426;PR;2017-05-17;2021-05-16
E1150;B1;2017-05-17;2019-05-16
F1288;BX;2017-05-17;2021-05-16
I1405;PP;2017-05-17;2021-05-16
I1458;SD;2017-05-18;2021-05-17
F1139;PP;2017-05-18;2019-05-17
F1395;PI;2017-05-18;2018-05-17
F1495;SM;2017-05-18;2021-05-17
F1340;PF;2017-05-18;2020-05-17
E1303;SM;2017-05-18;2019-05-17
I1109;PP;2017-05-19;2020-05-18
E1031;PF;2017-05-19;2018-05-18
I1482;SS;2017-05-20;2021-05-19
F1006;PF;2017-05-20;2018-05-19
E1307;PP;2017-05-20;2020-05-19
E1020;PP;2017-05-20;2019-05-19
F1256;PF;2017-05-20;2018-05-19
I1302;FT;2017-05-20;2018-05-19
I1217;B1;2017-05-20;2018-05-19
E1095;BD;2017-05-21;2019-05-20
I1361;PP;2017-05-21;2018-05-20
I1364;PI;2017-05-21;2021-05-20
E1483;PP;2017-05-21;2020-05-20
I1471;B2;2017-05-21;2019-05-20
I1042;B2;2017-05-21;2018-05-20
F1158;BX;2017-05-21;2019-05-20
F1430;B3;2017-05-22;2019-05-21
E1097;PP;2017-05-22;2018-05-21
F1358;SD;2017-05-22;2019-05-21
I1315;B3;2017-05-22;2021-05-21
F1216;SM;2017-05-22;2021-05-21
I1213;B1;2017-05-23;2021-05-22
I1034;HU;2017-05-23;2020-05-22
F1495;BN;2017-05-24;2018-05-23
I1202;HS;2017-05-24;2021-05-23
I1470;BN;2017-05-24;2020-05-23
I1050;B1;2017-05-24;2019-05-23
F1359;B1;2017-05-25;2021-05-24
E1155;PP;2017-05-25;2020-05-24
I1011;SS;2017-05-25;2018-05-24
I1389;BN;2017-05-25;2021-05-24
E1486;PR;2017-05-25;2018-05-24
I1480;SM;2017-05-25;2019-05-24
I1335;PR;2017-05-25;2021-05-24
I1187;BN;2017-05-26;2020-05-25
E1400;BD;2017-05-26;2020-05-25
I1381;PF;2017-05-26;2019-05-25
E1155;PF;2017-05-27;2020-05-26
I1077;PF;2017-05-27;2019-05-26
I1159;B1;2017-05-27;2018-05-26
I1426;BX;2017-05-27;2018-05-26
E1270;BD;2017-05-27;2019-05-26
I1434;B2;2017-05-27;2018-05-26
F1173;B2;2017-05-27;2020-05-26
F1395;B1;2017-05-27;2021-05-26
I1044;SS;2017-05-28;2018-05-27
E1097;B3;2017-05-28;2018-05-27
I1266;SS;2017-05-28;2018-05-27
F1412;PP;2017-05-28;2018-05-27
F1305;PF;2017-05-28;2019-05-27
I1460;PP;2017-05-28;2018-05-27
I1300;B3;2017-05-29;2021-05-28
